Satellite name,Ground Station name,Begin,End
Sentinel-1-1,Vladivostok,2024-07-10 00:33:20,2024-07-10 00:41:40
Sentinel-1-1,Vladivostok,2024-07-10 15:56:40,2024-07-10 16:00:00
Sentinel-1-1,Vladivostok,2024-07-10 17:43:20,2024-07-10 17:53:20
Sentinel-1-1,Vladivostok,2024-07-10 19:33:20,2024-07-10 19:45:00
Sentinel-1-1,Vladivostok,2024-07-10 21:23:20,2024-07-10 21:36:40
Sentinel-1-1,Vladivostok,2024-07-10 23:15:00,2024-07-10 23:26:40
Sentinel-1-1,Bengaluru,2024-07-10 00:20:00,2024-07-10 00:30:00
Sentinel-1-1,Bengaluru,2024-07-10 02:11:40,2024-07-10 02:23:20
Sentinel-1-1,Bengaluru,2024-07-10 04:03:20,2024-07-10 04:15:00
Sentinel-1-1,Bengaluru,2024-07-10 05:55:00,2024-07-10 06:05:00
Sentinel-1-1,Bengaluru,2024-07-10 19:20:00,2024-07-10 19:28:20
Sentinel-1-1,Bengaluru,2024-07-10 21:08:20,2024-07-10 21:20:00
Sentinel-1-1,Bengaluru,2024-07-10 23:00:00,2024-07-10 23:11:40
